$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642001,COLLECT_101,"[[""STR"", 1], [""INT"", 1]]",An old relic found in a well. {nl}Right-click to use.,icon_item_box,None,None,"[645461, 645228, 645229, 645151, 645451, 645403]",None,None,None,None,None,Monster Specimen Set,1,0.0,0.0,FFTF,5,0.0
642002,COLLECT_102,"[[""STR"", 5]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[649001, 649002, 649003, 649006, 645268]",None,None,None,None,None,Ore Collection,1,0.0,0.0,FFTF,5,0.0
642003,COLLECT_103,"[[""CON"", 5]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645024, 645461, 645379]",None,None,None,None,None,Flower Collection,1,0.0,0.0,FFTF,5,0.0
642004,COLLECT_104,"[[""INT"", 5]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645267, 645333, 645435, 645364]",None,None,"[{""Chance"": 0.1, ""Monster"": 57258, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",None,None,Bone Collection,1,0.0,0.0,FFTF,5,0.0
642005,COLLECT_105,"[[""SPR"", 5]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645439, 645292, 645162]",None,None,None,None,None,Crystal Collection,1,0.0,0.0,FFTF,5,0.0
642006,COLLECT_106,"[[""DEX"", 5]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645410, 645450, 645428, 645411, 645401]",None,None,None,None,None,Mausoleum Collection,1,0.0,0.0,FFTF,5,0.0
642007,COLLECT_107,"[[""Critical Attack"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645455, 645454, 645419, 645194]",None,None,None,None,None,Cockatrice Collection,1,0.0,0.0,FFTF,5,0.0
642008,COLLECT_108,"[[""Magic Defense"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645130, 645142, 645221, 645192, 645197, 645421]",None,None,None,None,None,Demon Collection,1,0.0,0.0,FFTF,5,0.0
642009,COLLECT_109,"[[""STR"", 1], [""INT"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645453, 645334, 645320, 645430, 645142]",None,None,None,None,None,Tenet Church Collection,1,0.0,0.0,FFTF,5,0.0
642010,COLLECT_110,"[[""Defense"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645348, 645193, 645400]",None,None,None,None,None,Ghost Collection,1,0.0,0.0,FFTF,5,0.0
