$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
-1,Moneybag1,None,icon_item_silver,None,None,None,None,"{""Chance"": 80.0, ""Monster"": 2000013, ""Quantity_MAX"": 2000, ""Quantity_MIN"": 1000}",None,None,Silver,None,None,None,FFFF,30,None
11040002,Ark_dummy,Divine Orb made for transferring EXP.,icon_item_ark_str,None,None,None,None,None,None,None,Ark - Dummy,0,0.0,0.0,FFFT,2,1.0
1250003,motion_medeina_emotion01,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Medeina (Flustered),0,0.0,0.0,FFFT,7,1.0
1250004,motion_medeina_emotion02,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Medeina (Joy),0,0.0,0.0,FFFT,7,1.0
1250005,egg_003_ContentsTotalShop,"Right-click to use. Upon use, the companion is immediately registered.{nl}This companion can be mounted without the riding skill. ",icon_item_egg_piggy,None,None,None,None,None,None,None,Baby Pig Egg,0,30.0,0.0,FFFT,7,10.0
1250011,motion_kupole_emotion01,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Kupole (Cheeky),0,0.0,0.0,FFFT,7,1.0
1250012,motion_kupole_emotion02,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Kupole (Shocked),0,0.0,0.0,FFFT,7,1.0
1250013,motion_kupole_emotion03,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Kupole (Sigh),0,0.0,0.0,FFFT,7,1.0
1250022,motion_dionyscon01,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Dionys(Scared),0,0.0,0.0,FFFT,7,1.0
1250023,motion_dionyscon02,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Dionys(Touched),0,0.0,0.0,FFFT,7,1.0
1250024,motion_dionyscon03,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Dionys(Rage),0,0.0,0.0,FFFT,7,1.0
1250026,motion_bakarinecon1,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Vakarine(Shook),0,0.0,0.0,FFFT,7,1.0
1250027,motion_bakarinecon2,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Vakarine(Wicked),0,0.0,0.0,FFFT,7,1.0
1250028,motion_bakarinecon3,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Vakarine(Cheer Up),0,0.0,0.0,FFFT,7,1.0
1250030,motion_medeinacon1,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Medeina (Fabulous),0,0.0,0.0,FFFT,7,1.0
1250031,motion_medeinacon2,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Medeina (Pursy),0,0.0,0.0,FFFT,7,1.0
1250032,motion_medeinacon3,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Medeina (Teary),0,0.0,0.0,FFFT,7,1.0
1250035,motion_popocon1,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Popolion (Toss),0,0.0,0.0,FFFT,7,1.0
1250036,motion_popocon2,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Popolion (Fabulous),0,0.0,0.0,FFFT,7,1.0
1250037,motion_popocon3,You can add motion emoticons to quick slots.{nl}Right-click to use.,icon_item_misc_00021,None,None,None,None,None,None,None,Motion Emoticon: Popolion (Badmouth),0,0.0,0.0,FFFT,7,1.0
