$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
100001,ET_NetherBovine_minimal,3,Nederbovine bases it's origin to the demon realm. This is not an intelligent demon. It is a beast that is being raised by the demons.,0,0,0,boss_netherbovine,280,None,None,Tera Netherbovine,1,1,2,8272,5514,4106,2737,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100002,ET_necrovanter_minimal,2,He has the tendency to control evil spirits and steal the power from those who do not obey him in order to accumulate even greater power.,0,0,0,boss_necrovanter,280,None,None,Tera Necroventer,1,1,2,6740,3629,3252,1751,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100003,ET_Spector_m_minimal,2,Ghost caused by demons has various form's features and color.,0,0,0,boss_spector_m,280,None,None,Tera Specter Monarch,1,1,2,6740,3629,3252,1751,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100004,ET_Glackuman_minimal,4,Glackuman who dreams to become a famous fighter is only satisfied if he is dispatched to locations where a lot of fights are taking place.,0,0,1,boss_glackuman,280,None,None,Tera Glackuman,4,1,2,3805,2048,3894,2097,280,392,0,185,562,140,280,6220,6220,85,280,2085391,85,3156,99,114,0
100005,ET_Canceril_minimal,4,The transformation of the Canceril is now even considered ordinary in the world full of monsters derived from all sorts of lifeforms.,0,0,4,boss_canceril,280,None,None,Tera Canceril,0,1,2,3252,1751,6617,3563,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100006,ET_Silva_griffin_minimal,1,"A long time ago, there were times that they were tamed and mounted by humans.",0,0,7,boss_silva_griffin,280,None,None,Tera Silva Griffin,0,1,2,3002,2001,6108,4072,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100007,ET_Velniamonkey_minimal,1,You shouldn't just think of it as a beast of the demons. This monster is actually intelligent!,0,0,7,boss_velniamonkey,280,None,None,Tera Velnia Monkey,0,1,2,3002,2001,6108,4072,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100008,ET_Prisoncutter_minimal,4,Violence and cruelty is normal in this place so it's a perfect place for demons. They enjoyed tortures and killings in the demon realm.,0,0,0,boss_prisoncutter,280,None,None,Tera Prison Cutter,1,1,2,6221,4147,3002,2001,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100009,ET_Rambandgad_red_minimal,2,"When a low-ranked monster becomes strong, there are people who still think they are weak. If you don't pay attention to all changes in the current circumstances, these kinds of monsters may become disasters anytime.",0,0,0,boss_rambandgad_red,280,None,None,Tera Red Lavenzard,1,1,2,6221,4147,3002,2001,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
10001,Stone,6,The Quarrel Shooter uses it sometimes.,64,49,6,icon_item_nothing,1,None,None,Stone,None,2,0,56,37,56,37,1,1,0,2,5,0,1,21,21,2,1,465,2,26,2,2,0
100010,ET_Foculus_minimal,3,"When a low-ranked monster becomes strong, there are people who still think they are weak. If you don't pay attention to all changes in the current circumstances, these kinds of monsters may become disasters anytime.",0,0,2,boss_foculus,280,None,None,Tera Foculus,0,1,2,5133,1711,10198,3399,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100011,ET_Rocksodon_minimal,4,"When a low-ranked monster becomes strong, there are people who still think they are weak. If you don't pay attention to all changes in the current circumstances, these kinds of monsters may become disasters anytime.",0,0,4,boss_rocksodon,280,None,None,Tera Rocksodon,0,1,2,3752,1250,7635,2545,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100012,ET_boss_Templeshooter,3,"The most dramatic change the Goblin society experienced on Medzio Diena is the appearances of the strong individuals like the Templeshooter. However, they prioritize their individual benefits more than the Goblin tribe. Even if they serve for others, there's a certain possibility that they have hidden purposes.",0,0,0,boss_templeshooter,280,None,None,Templeshooter,1,0,3,8991,5994,4463,2975,525,525,0,85,464,210,630,5918,3945,57,280,10701306,199,4092,171,57,0
100013,ET_boss_Moyabruka,3,"The seeds that dropped from leaf molds combined with larvas and turned into monsters. Of course, they weren't discovered before Medzio Diena.",0,0,1,boss_moyabruka,280,None,None,Moyabruka,0,0,3,4463,2975,8868,5912,525,525,0,114,860,210,630,4008,6013,171,280,11231035,57,2610,57,171,0
100014,ET_boss_Mothstem,1,"It is fortunate that there aren't many cases that the host became a monster, but it's a difficult phenomenon to understand.",0,0,5,boss_mothstem,280,None,None,Mothstem,2,0,3,5594,3729,5861,3907,367,630,0,114,944,183,682,4509,4509,199,392,8984828,57,2974,85,114,0
100015,ET_boss_Flammidus,1,"When a low-ranked monster becomes strong, there are people who still think they are weak. If you don't pay attention to all changes in the current circumstances, these kinds of monsters may become disasters anytime.",0,0,0,boss_flammidus,280,None,None,Flammidus,1,0,3,6762,4508,3263,2175,525,525,0,85,464,210,630,5918,3945,57,280,10701306,199,4092,171,57,0
100016,ET_banshee_purple,2,The souls of those who ventured to the underworld now appear as demons.,0,0,0,mon_banshee_purple,280,None,None,Evil Spirit,1,5,1,4583,2467,2211,1190,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100017,ET_dog_of_king,4,According to legend this watchdog is a creation that Zachariel the Great had planned to preserve.,0,0,1,mon_dog_of_king,280,None,None,Venucelos,1,5,1,4935,2115,2381,1020,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100018,ET_Prisonfighter,4,They kill their fellow demons out of boredom.,0,0,0,mon_prisonfighter,280,None,None,Prison Fighter,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100019,ET_hook_red,1,It used its hook on a large monster to come over from the demon realm and has gone through a lot of change.,0,0,2,mon_hook_red,280,None,None,Red Old Hook,1,5,1,4583,2467,2211,1190,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100020,ET_Nuo,3,"What's unique about Nuo is that they are subordinates of the Demon King Kartas. Although Kartas possesses a brutal and unexpected personality, it is so incredible that Nuo who is under the control of Kartas possesses the power and the number for the ones who know well about the circumstances in the demons.",0,0,0,mon_nuo,280,None,None,Nuo,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100021,ET_Paggnat,3,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,5,mon_paggnat,280,None,None,Pag Nat,1,5,0,4891,3260,2428,1618,280,280,0,85,464,112,336,2624,1749,57,280,970251,199,4092,171,57,0
100022,ET_Pagshearer,3,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagshearer,280,None,None,Pag Shearer,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100023,ET_PagEmitter,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagemitter,280,None,None,Pag Emitter,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100024,ET_Pagclamper,4,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagclamper,280,None,None,Pag Clamper,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100025,ET_PagNanny,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagnanny,280,None,None,Pag Nanny,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100026,ET_PagSawyer,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagsawyer,280,None,None,Pag Sawyer,1,5,0,3678,2452,1775,1183,280,280,0,85,464,112,336,2624,1749,57,280,970251,199,4092,171,57,0
100027,ET_PagWheeler,4,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagwheeler,280,None,None,Pag Wheeler,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100028,ET_PagAmpullar,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagampullar,280,None,None,Pag Ampler,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100029,ET_Flamil,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,0,mon_fd_flamil,280,None,None,Flamil,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100030,ET_Flamag,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,0,mon_fd_flamag,280,None,None,Flamag,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100031,ET_Flak,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,0,mon_fd_flak,280,None,None,Flak,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100032,ET_Nuka,3,"Nuka is under the control of the Demon King Baiga and was dispatched here to fulfill the tasks that Gesti received from Giltine. But, Gesti is controlling them unlike what Baiga once thought.",0,0,0,mon_nuka,280,None,None,Nuka,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100033,ET_Hohen_ritter,3,"Hohen competed against humans since the birth of the kingdom. They were cooperative to demons instead of the goddesses, but they posed no big problems since their amount was small compared to humans. However, the environment that Medzio Diena changed is working more advantegeous for Hohens instead of humans so it is not certain whether humans would have an edge over them in the future.",0,0,2,mon_hohen_ritter,280,None,None,Hohen Ritter,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100034,ET_hohen_barkle,1,"Hohen competed against humans since the birth of the kingdom. They were cooperative to demons instead of the goddesses, but they posed no big problems since their amount was small compared to humans. However, the environment that Medzio Diena changed is working more advantegeous for Hohens instead of humans so it is not certain whether humans would have an edge over them in the future.",0,0,5,mon_hohen_barkle,280,None,None,Hohen Barkle,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100035,ET_Hohen_mage,1,"Hohen competed against humans since the birth of the kingdom. They were cooperative to demons instead of the goddesses, but they posed no big problems since their amount was small compared to humans. However, the environment that Medzio Diena changed is working more advantegeous for Hohens instead of humans so it is not certain whether humans would have an edge over them in the future.",0,0,0,mon_hohen_mage,280,None,None,Hohen Mage,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100036,ET_Hohen_orben,3,"Hohen competed against humans since the birth of the kingdom. They were cooperative to demons instead of the goddesses, but they posed no big problems since their amount was small compared to humans. However, the environment that Medzio Diena changed is working more advantegeous for Hohens instead of humans so it is not certain whether humans would have an edge over them in the future.",0,0,0,mon_hohen_orben,280,None,None,Hohen Orben,1,1,2,8272,5514,4106,2737,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100037,ET_Hohen_gulak,3,"Hohen competed against humans since the birth of the kingdom. They were cooperative to demons instead of the goddesses, but they posed no big problems since their amount was small compared to humans. However, the environment that Medzio Diena changed is working more advantegeous for Hohens instead of humans so it is not certain whether humans would have an edge over them in the future.",0,0,0,mon_hohen_gulak,280,None,None,Hohen Gulak,1,1,2,8272,5514,4106,2737,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100038,ET_Harugal,4,A demon that follows the Demon Lord Hauberk. Most of them still show their loyalty to Hauberk even after their owner was sealed by Helgasercle.,0,0,4,mon_harugal,280,None,None,Harugal,1,1,2,6740,3629,3252,1751,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100039,ET_NightMaiden_bow,3,They are servants and body guards to the Demon Lords.,0,0,0,mon_nightmaiden_bow,280,None,None,Darkness Maiden,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100040,ET_velffigy,1,"A tool that is used by sorcerer of demons. When the ritual is over, the sorcerer would obtain the ego.",0,0,0,mon_velffigy,280,None,None,Velfiggy,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100041,ET_Elet,1,"A long time ago, Elet used to be a fairy or a soul. They received the curse of Goddess Ausrine and they hid into the human world and lived on. Since Medzio Diena, when the demons invaded the world, they are showing their determination to participate with the other demons.",0,0,2,mon_elet,280,None,None,Elet,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100042,ET_Elma,1,"Elma is one of Gesti's bodyguards, she is dispatched to various duties and also works as a guard at the devil realm.",0,0,0,mon_elma,280,None,None,Elma,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100043,ET_Spector_gh_red,2,Ghosts affected by demons often change their appearance in a way similar to this.,0,0,5,mon_spector_gh_red,280,None,None,Red Apparition,1,5,1,4935,2115,2381,1020,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100044,ET_Spector_Gh,2,Ghosts affected by demons often change their appearance in a way similar to this.,0,0,5,mon_spector_gh,280,None,None,Green Apparition,1,5,1,4935,2115,2381,1020,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100045,ET_PagNurse,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,0,mon_pagnurse,280,None,None,Pag Nurse,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100046,ET_PagDoper,1,"Pag members belong to the high class among other demons. The other demon also feels fear due to their cruelty. Pags only bully other demons who are not strong under the Demon King Kartas' guard, they appeared with the request by Giltine in this world.",0,0,7,mon_pagdoper,280,None,None,Pag Doper,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100047,ET_Flamme_priest,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,2,mon_fd_flamme_priest,280,None,None,Flamme,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100048,ET_Flamme_archer,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,2,mon_fd_flamme_archer,280,None,None,Flamme Archer,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100049,ET_Flamme_mage,1,"They had started to form a union when Gesti received the mission from Giltine to chase after the revelation. Since Medzio Diena, Flammes were created until then and their subspecies were dispatched to various places according to their creator, Gesti's order.",0,0,0,mon_fd_flamme_mage,280,None,None,Flamme Mage,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
10005,Bomb,6,"It seems the name is unique, but the effect is similar to another bomb.",64,49,6,icon_item_nothing,1,None,None,Vubbe Extermination Bomb,None,2,0,56,37,56,37,1,1,0,2,5,0,1,21,21,2,1,465,2,26,2,2,0
100050,ET_hogma_warrior,4,"Hogma is smarter than the Vubbes so they use tools, but due to its strong instinct, it tends to make mistakes and hardly makes any progress.",0,0,2,mon_hogma_warrior,280,None,None,Hogma Warrior,0,5,1,2211,1190,4499,2423,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100051,ET_Npanto_sword,1,A Panto with excellent fighting skills and is one of the strongest subspecies in the forest.,0,0,1,mon_npanto_sword,280,None,None,Panto Warrior,0,5,1,1871,1531,3807,3115,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100052,ET_Fire_Dragon,3,A lesser demon summoned by its demonic superiors to invade towers.,0,0,2,mon_fire_dragon,280,None,None,Drake,0,5,1,3257,1396,6472,2774,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100053,ET_Big_Cockatries,3,"The Big Cockatrice is quite dangerous, as its glare and breath can petrify any opponent. Engaging this creature should not be taken lightly.",0,0,2,mon_big_cockatries,280,None,None,Cockat,0,1,2,4790,2053,9518,4079,280,280,0,114,860,112,336,3688,5532,171,280,2339799,57,2610,57,171,0
100054,ET_Tiny,3,"Due to their cute appearances, many people tried to tame Tinis, but they never succeeded.",0,0,5,mon_tiny,280,None,None,Tini,0,5,1,2559,2094,5085,4161,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100055,ET_Kowak_orange,3,It still tends to gravitate toward rotten flesh.,0,0,1,mon_kowak_orange,280,None,None,Orange Kowak,0,5,1,3257,1396,6472,2774,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100056,ET_hogma_sorcerer,3,"Among the Hogmas, there is someone who obtained the abilities through experiences. But, a sorcerer is not free from the instinct of a Hogma.",0,0,2,mon_hogma_sorcerer,280,None,None,Hogma Shaman,0,5,1,2792,1861,5548,3698,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100057,ET_bubbe_mage_fire,1,"For the last several years, the Vubbe society became severely differentiated and complicated.",0,0,2,mon_bubbe_mage_fire,280,None,None,Vubbe Fire Wizard,0,5,1,2381,1020,4846,2076,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100058,ET_bubbe_mage_ice,1,"For the last several years, the Vubbe society became severely differentiated and complicated.",0,0,4,mon_bubbe_mage_ice,280,None,None,Vubbe Ice Wizard,0,5,1,2381,1020,4846,2076,280,280,0,114,860,112,336,2370,3555,171,280,1272850,57,2610,57,171,0
100059,ET_Wolf_statue,4,"Although originally created to defend the Royal Mausoleum, it has since shifted into a state that attacks anyone who enters.",0,0,2,mon_wolf_statue,280,None,None,Vikaras,4,5,1,2587,1393,2648,1426,280,392,0,185,562,140,280,3997,3997,85,280,1134452,85,3156,99,114,0
10006,Bomb_Score,6,Monster,64,49,6,icon_item_nothing,1,None,None,Bomb Score,None,2,0,56,37,56,37,1,1,0,2,5,0,1,21,21,2,1,465,2,26,2,2,0
100060,ET_Socket_red,4,Sockets used to live deep inside our world and in the demon realm. They believe on Giltine's promise that their territory will be guaranteed in the earth.,0,0,2,mon_socket_red,280,None,None,Red Socket,4,5,1,2388,1592,2444,1629,280,392,0,185,562,140,280,3997,3997,85,280,1134452,85,3156,99,114,0
100061,ET_Malstatue,4,"In various regions, they created either the Kupoles or the idols of the spirits. Some of them started to work as evil creatures after Medzio Diena.",0,0,0,mon_malstatue,280,None,None,Malstatue,4,5,1,2388,1592,2444,1629,280,392,0,185,562,140,280,3997,3997,85,280,1134452,85,3156,99,114,0
