$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644001,card_Gaigalas,[슬롯 장착 효과] 땅 속성 추가 대미지 +[★*10],icon_item_card_util,027_boss_gaigalas,None,None,None,None,41220,None,None,None,1,0,가이갈라스 카드,500,205,4,201,0.0,0.0,TTTT,4,5,1.0
644002,card_GazingGolem,[슬롯 장착 효과] 피격 시 [★]% 확률로 페인배리어 사용 (지속시간 15초),icon_item_card_util,108_boss_gazinggolem,None,None,None,None,47322,None,None,None,0,4,게이징 골렘 카드,500,324,2,4860,0.0,0.0,TTTT,4,5,1.0
644003,card_Gorgon,[슬롯 장착 효과] 때리기류 방어력 +[★*10],icon_item_card_def,064_boss_gorgon,None,None,None,None,800042,None,None,None,0,1,고르곤 카드,500,190,4,1360,0.0,0.0,TTTT,4,1,1.0
644004,card_Golem,[슬롯 장착 효과] HP 포션 종류 사용 시 10초간 물리 방어력 +[★]%,icon_item_card_def,003_boss_golem,None,None,None,None,450221,None,None,None,1,4,골렘 카드,500,215,2,6192,0.0,0.0,TTTT,4,1,1.0
644005,card_Grinender,[슬롯 장착 효과] 공중형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,056_boss_grinender,None,None,None,None,41374,None,None,None,2,4,그라이넨더 카드,500,305,1,214,0.0,0.0,TTTT,4,0,1.0
644006,card_Glass_mole,[슬롯 장착 효과] SP 포션 종류 사용 시 6초간 물리 대미지 +[★]%,icon_item_card_atk,012_boss_glass_mole,None,None,None,None,41367,None,None,None,4,0,글래스몰 카드,500,192,4,860,0.0,0.0,TTTT,4,0,1.0
644007,card_ginklas,[슬롯 장착 효과] 판금 갑옷 대상에게 주는 대미지[★/2]% 증가,icon_item_card_atk,091_boss_ginklas,[642013],None,None,None,41208,None,[18018],None,2,4,긴클라스 카드,500,320,2,1053,0.0,0.0,TTTT,4,0,1.0
644008,card_NetherBovine,[슬롯 장착 효과] 힘 스탯 +[★],icon_item_card_stat,026_boss_netherbovine,None,None,None,None,800001,None,None,None,0,1,네더보바인 카드,500,195,4,966,0.0,0.0,TTTT,4,4,1.0
644009,card_necrovanter,[슬롯 장착 효과] 어둠 속성 추가 대미지 +[★*10],icon_item_card_util,044_boss_necrovanter,[642011],"[642907, 642919, 642941]",None,None,800002,None,None,None,0,1,네크로벤터 카드,500,416,1,144,0.0,0.0,TTTT,4,5,1.0
644010,card_deadbone,[슬롯 장착 효과] 물리 치명타 공격력 +[★*20],icon_item_card_atk,014_boss_deadbone,None,None,None,None,41203,None,None,None,0,4,데드본 카드,500,333,2,207,0.0,0.0,TTTT,4,0,1.0
644011,card_Devilglove,[슬롯 장착 효과] 변이형 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,072_boss_devilglove,None,None,None,None,41385,None,None,None,0,4,데블글로브 카드,500,127,5,98,0.0,0.0,TTTT,4,0,1.0
644012,card_Denoptic,[슬롯 장착 효과] 마법 방어력 +[★*10],icon_item_card_def,024_boss_denoptic,None,None,None,None,41368,None,None,None,7,4,덴옵틱 카드,500,388,6,205,0.0,0.0,TTTT,4,1,1.0
644014,card_Ravinepede,[슬롯 장착 효과] STA 포션 종류 효과 +[★]%,icon_item_card_util,025_boss_ravinepede,None,None,None,None,41236,None,None,None,7,5,라바인피드 카드,500,210,1,164,0.0,0.0,TTTT,4,5,1.0
644015,card_Rajatoad,[슬롯 장착 효과] 찌르기류 무기 착용 시 물리 공격력 +[★*7],icon_item_card_atk,097_boss_rajatoad,[642013],None,None,None,41226,None,None,None,4,0,라자토드 카드,500,151,4,275,0.0,0.0,TTTT,4,0,1.0
644016,card_Rocktortuga,[슬롯 장착 효과] 땅 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,046_boss_rocktortuga,None,None,None,None,41233,None,None,None,1,4,락토르투가 카드,500,400,2,2472,0.0,0.0,TTTT,4,5,1.0
644017,card_lecifer,[슬롯 장착 효과] 마법 치명타 공격력 +[★*10],icon_item_card_atk,030_boss_lecifer,None,None,None,None,800043,None,None,None,0,1,렉시퍼 카드,500,213,2,123,0.0,0.0,TTTT,4,0,1.0
644018,card_Reaverpede,[슬롯 장착 효과] 중형 대상에게 주는 대미지[★/2]% 증가,icon_item_card_atk,051_boss_reaverpede,None,None,None,None,800044,None,None,None,7,2,리버피드 카드,500,276,6,1200,0.0,0.0,TTTT,4,0,1.0
644019,card_spector_gh,[슬롯 장착 효과] SP 포션 종류 효과 +[★]%,icon_item_card_util,010_boss_spector_gh,None,None,None,None,800045,None,None,None,0,1,리카우스 카드,500,230,2,76,0.0,0.0,TTTT,4,5,1.0
644022,card_mineloader,[슬롯 장착 효과] 공격 시 [★/3]% 확률로 상대방에게 3초간 감전 상태{nl}(감전 디버프의 대미지는 1로 고정 됩니다.),icon_item_card_util,092_boss_mineloader,[642014],"[642904, 642921]",None,None,800024,None,None,None,5,4,마인로더 카드,500,345,4,863,0.0,0.0,TTTT,4,5,1.0
644023,card_Malletwyvern,[슬롯 장착 효과] 대형 몬스터에게 피격 시 [★]% 확률로 SP 3% 회복{nl}재사용 대기 시간 5초,icon_item_card_util,106_malletwyvern,None,None,None,None,47502,None,None,None,4,0,말렛와이번 카드,500,222,4,1605,0.0,0.0,TTTT,4,5,1.0
644024,card_MagBurk,[슬롯 장착 효과] 변이형 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,049_boss_magburk,[642014],None,None,None,41350,None,None,None,2,4,매그버크 카드,500,197,4,409,0.0,0.0,TTTT,4,5,1.0
644025,card_Manticen,[슬롯 장착 효과] STA 포션 종류 사용 시 10초간 이동속도+[★/5],icon_item_card_util,114_boss_manticen,None,"[642906, 642922]",None,None,800030,None,None,None,7,2,맨티켄 카드,500,255,4,214,0.0,0.0,TTTT,4,5,1.0
644026,card_Mummyghast,"[슬롯 장착 효과] 힘 스텟 +[★/2], 민첩 스탯 +[★/2] ",icon_item_card_stat,042_boss_mummyghast,None,None,None,None,800003,None,None,None,0,1,머미가스트 카드,500,420,2,312,0.0,0.0,TTTT,4,4,1.0
644027,card_mushcaria,[슬롯 장착 효과] SP 회복력 +[★ * 6],icon_item_card_util,059_boss_mushcaria,None,None,None,None,41217,None,None,None,7,5,머슈카리아 카드,500,263,2,272,0.0,0.0,TTTT,4,5,1.0
644028,card_Merge,[슬롯 장착 효과] 얼음 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,119_merge,None,None,None,None,800046,None,None,None,4,2,머지 카드,500,321,1,320,0.0,0.0,TTTT,4,0,1.0
644029,card_Mothstem,[슬롯 장착 효과] 때리기류 무기 착용시 마법 공격력 +[★*7],icon_item_card_atk,103_boss_mothstem,[642012],None,None,None,800047,None,None,None,5,2,모스템 카드,500,188,1,136,0.0,0.0,TTTT,4,0,1.0
644030,card_moa,[슬롯 장착 효과] 악마형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,083_boss_moa,None,None,None,None,41378,None,None,None,0,0,모아 카드,500,340,2,1120,0.0,0.0,TTTT,4,0,1.0
644031,card_Moyabruka,[슬롯 장착 효과] 가죽 갑옷 대상에게 주는 대미지[★/2]% 증가,icon_item_card_atk,115_boss_moyabruka,[642012],None,None,None,47325,None,None,None,1,0,모야브루카 카드,500,200,4,1288,0.0,0.0,TTTT,4,0,1.0
644032,card_Moldyhorn,[슬롯 장착 효과] 석화 상태 이상에 걸린 대상에게 주는 대미지[★]% 증가,icon_item_card_atk,109_boss_moldyhorn,[642012],None,None,None,47323,None,None,None,7,0,몰디혼 카드,500,307,2,421,0.0,0.0,TTTT,4,0,1.0
644033,card_molich,[슬롯 장착 효과] 블록 +[★ * 2],icon_item_card_util,021_boss_glass_mole,[642012],"[642908, 642915, 642923]",None,None,400421,None,None,None,0,0,몰렉 카드,500,540,2,2075,0.0,0.0,TTTT,4,5,1.0
644034,card_Minotaurs,"[슬롯 장착 효과] 민첩 스텟 +[★/2], 정신 스탯 +[★/2] ",icon_item_card_stat,090_boss_minotaurs,None,None,None,None,800004,None,None,None,2,1,미노타우로스 카드,500,242,2,560,0.0,0.0,TTTT,4,4,1.0
644035,card_mirtis,[슬롯 장착 효과] 소형 몬스터에게 주는 대미지[★/2]% 증가,icon_item_card_atk,007_boss_mirtis,None,None,None,None,800048,None,None,None,0,1,미르티스 카드,500,346,2,192,0.0,0.0,TTTT,4,0,1.0
644036,card_bebraspion,[슬롯 장착 효과] 양손 무기 착용 시 공격 속도 +[★],icon_item_card_util,005_boss_bebraspion,None,None,None,None,41222,None,None,None,5,0,베브라스피온 카드,500,345,2,860,0.0,0.0,TTTT,4,5,1.0
644037,card_bearkaras,[슬롯 장착 효과] 땅 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,031_boss_bearkaras,None,None,None,None,401141,None,None,None,1,0,베아카라스 카드,500,359,2,3123,0.0,0.0,TTTT,4,0,1.0
644038,card_Velorchard,[슬롯 장착 효과] 회피 +[★ * 2],icon_item_card_util,126_boss_velorchard,None,None,None,None,800049,None,None,None,5,1,벨로차드 카드,500,185,3,160,0.0,0.0,TTTT,4,5,1.0
644039,card_Goblin_Warrior,[슬롯 장착 효과] 야수형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,004_boss_goblin_warrior,None,None,None,None,400201,None,None,None,1,0,부베 투사 카드,500,240,2,356,0.0,0.0,TTTT,4,0,1.0
644040,card_Goblin_Warrior_red,[슬롯 장착 효과] 때리기류 무기 착용 시 물리 공격력 +[★*7],icon_item_card_atk,128_boss_goblin_warrior_red,None,None,None,None,400203,None,None,None,2,0,붉은 부베 투사 카드,500,255,2,390,0.0,0.0,TTTT,4,0,1.0
644041,card_bramble,[슬롯 장착 효과] 땅 속성 저항력 +[★*10],icon_item_card_def,019_boss_bramble,None,None,None,None,400901,None,None,None,0,5,브람블 카드,500,545,2,1350,0.0,0.0,TTTT,4,1,1.0
644042,card_BiteRegina,[슬롯 장착 효과] 공격 시 [★/3]% 확률로 상대방에게 6초간 중독 상태,icon_item_card_util,022_boss_biteregina,[642011],None,None,None,800050,None,None,None,7,2,비테레지나 카드,500,210,6,180,0.0,0.0,TTTT,4,5,1.0
644043,card_Strongholder,[슬롯 장착 효과] 스태미너 +[★],icon_item_card_util,082_boss_strongholder,[642011],None,None,None,800005,None,None,None,0,1,사이클롭스 카드,500,251,2,456,0.0,0.0,TTTT,4,5,1.0
644044,card_Saltistter,[슬롯 장착 효과] 얼음 속성 저항력 +[★*10],icon_item_card_def,085_boss_saltistter,None,None,None,None,41207,None,None,None,4,0,살티스터 카드,500,300,2,685,0.0,0.0,TTTT,4,1,1.0
644045,card_salamander,[슬롯 장착 효과] 불 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,054_boss_salamander,[642014],None,None,None,41205,None,None,None,2,0,샐러맨더 카드,500,202,4,524,0.0,0.0,TTTT,4,5,1.0
644046,card_ShadowGaoler,[슬롯 장착 효과] 침묵 상태이상 저항 +[★ * 2],icon_item_card_util,093_boss_shadowgaoler,None,"[495031, 642918, 642940]",None,None,800006,None,None,None,0,1,섀도게일러 카드,500,290,1,161,0.0,0.0,TTTT,4,5,1.0
644047,card_stone_whale,[슬롯 장착 효과] 공격 시 [★/3]% 확률로 5초간 받는 대미지 10%감소,icon_item_card_util,075_boss_stone_whale,None,None,None,None,41209,None,None,None,1,4,석화고래 카드,500,226,1,5288,0.0,0.0,TTTT,4,5,1.0
