$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
1000001,item_summon_boss_Gaigalas,3,가이갈라스의 기원이 되는 생물이 무엇인지 모호합니다. 심지어 본래 우리 세상에 속하던 생물인지도 의심스럽습니다.,0,0,1,boss_gaigalas,330,None,None,가이갈라스,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000002,item_summon_boss_Golem,4,세계에 존재하는 대부분의 골렘은 본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이게 되었습니다.,0,0,1,boss_golem,330,None,None,골렘,4,0,3,5797,3865,6009,4006,618,866,198,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000003,item_summon_boss_ginklas,4,현재의 긴클라스는 광기에 물들어 있으며 따라서 본시 있던 이성이 드러날 가능성은 없습니다.,0,0,2,boss_ginklas,330,None,None,긴클라스,4,0,3,5797,3865,6009,4006,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000004,item_summon_boss_Ravinepede,3,벌레에서 변이된 몬스터가 나중에는 날개를 지닌 성충형 몬스터로 변한 사례는 아직 목격되지 않았습니다. 이 녀석을 보면 그런 일은 없어야 합니다.,0,0,7,boss_ravinepede,330,None,None,라바인피드,5,0,3,9384,6256,9909,6606,1113,556,0,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
1000005,item_summon_boss_Rajatoad,3,이 종류의 몬스터가 신수의 날 이후 변형되어 활동 공간을 바다에서 육지로 옮긴 것인지 마계의 생물이 넘어온 것인지는 확실하지 않습니다. 일단 유라테 여신께서는 이들에 대해 관심을 보이지 않고 있습니다.,0,0,4,boss_rajatoad,330,None,None,라자토드,0,0,3,6361,4240,13273,8849,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000006,item_summon_boss_spector_gh,2,마족의 영향을 받은 망령이 백 년 이상의 세월을 견뎌내면 더 큰 힘을 부여받고 지위가 상승되기도 합니다.,0,0,0,boss_spector_gh,330,None,None,리카우스,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000007,item_summon_boss_Malletwyvern,3,꼬리는 주로 자기들끼리 경쟁할 때 사용한다고 하지만 그런 성향만을 믿고 있어서는 안 됩니다.,0,0,4,boss_malletwyvern,330,None,None,말렛와이번,0,0,3,6361,4240,13273,8849,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000008,item_summon_boss_MagBurk,4,신수의 날을 일으킨 마족들도 자신들 주변의 매그버크가 이렇게 변할 것이라고 생각하지는 못했다고 합니다.,0,0,2,m_boss_magburk,330,None,None,매그버크,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000009,item_summon_boss_Mushcaria,1,"이유는 알 수 없지만, 신수의 날로 변형된 이후 여신들에게 강한 적대감을 드러냅니다.",0,0,7,boss_mushcaria,330,None,None,머슈카리아,5,0,3,7851,4227,8419,4533,1113,556,0,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
100001,ET_NetherBovine_minimal,3,네더보바인은 마계를 기원으로 하는 몬스터입니다. 지능이 있는 마족이 아니라 마족이 사육하는 마계의 야수입니다. ,0,0,0,boss_netherbovine,280,None,None,테라 네더보바인,1,1,2,16544,11029,8212,5475,280,280,0,85,464,224,336,10889,7259,57,280,2229438,199,4092,171,57,0
1000010,item_summon_boss_bearkaras,4,신수의 날에 변형을 일으켜 강력한 힘을 지니게 된 몬스터들 가운데 일부는 이 녀석처럼 마족과 협력관계를 맺거나 그 수하로 들어가기도 했습니다.,0,0,1,boss_bearkaras,330,None,None,베아카라스,0,0,3,4865,3243,10494,6996,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000011,item_summon_boss_Goblin_Warrior,3,부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.,0,0,1,mon_goblin_warrior,330,None,None,부베 투사,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000012,item_summon_boss_Goblin_Warrior_red,3,부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.,0,0,2,mon_goblin_warrior_red,330,None,None,붉은 부베 투사,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000013,item_summon_boss_bramble,3,브람블은 마군주 가운데 가장 총명하지 못합니다. 그렇지만 제스티는 우직한 성격을 높이 사서 많은 힘을 부여했습니다. 일설에 따르면 브람블은 다른 마군주들이 대부분 실패한 여신의 유물을 거의 탈취한 적도 있다고 합니다.,0,0,0,boss_bramble,330,None,None,브람블,5,0,3,10948,4692,11560,4954,1113,556,363,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
1000014,item_summon_boss_BiteRegina,4,신수의 날에 변형된 곤충형 몬스터는 대부분 여왕이나 군주에 해당하는 개체가 존재합니다.,0,0,7,boss_biteregina,330,None,None,비테레지나,2,0,3,8340,5560,9013,6009,433,742,230,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000015,item_summon_boss_Saltistter,4,본시 추운 지방에서 태어났으며 신수의 날 이후에 여러 곳에서 목격된 것으로 보아 활발하게 돌아다니는 것 같습니다.,0,0,4,boss_saltistter,330,None,None,살티스터,0,0,3,5270,2838,11369,6122,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000016,item_summon_boss_Confinedion,4,"명칭은 밋밋하게 지어졌지만, 실은 이 몬스터는 충실한 죽음의 동반자가 될 수 있습니다.",0,0,7,boss_confinedion,330,None,None,스콜피오,0,0,3,5676,2432,12244,5247,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000017,item_summon_boss_yekub,3,예쿱은 마계에서 악명를 떨친 존재이며 많은 분신을 낳아 세상에 퍼뜨렸습니다. 에큐바이트는 그런 분신들에게 붙여진 이름입니다.,0,0,4,boss_yekub,330,None,None,예쿱,0,0,3,7421,3180,15485,6636,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000018,item_summon_boss_Iltiswort,1,강력한 식물 몬스터들에게서 찾을 수 있는 장점은 대개 그들이 움직이지 못하는 고정형이라는 사실 정도입니다.,0,0,7,boss_iltiswort,330,None,None,일티스워트,5,0,3,8455,3623,9066,3885,1113,556,0,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
1000019,item_summon_boss_GiantWoodGoblin_red,3,신수의 날 이후 숲은 인간에게 공포가 되었습니다. 바로 이러한 감당하기 어려운 대형 몬스터들의 영향이 큽니다.,0,0,2,boss_giantwoodgoblin_red,330,None,None,자이언트 레드 우드,5,0,3,11730,3910,12386,4128,1113,556,0,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
